117912,52,רמת גן ,2400,אור יהודה ,143 ,נעמי שמר ,official ,143
117913,52,רמת גן ,2400,אור יהודה ,144 ,מניה שוחט ,official ,144
117914,52,רמת גן ,2400,אור יהודה ,145 ,ארבע אמהות ,official ,145
117915,52,רמת גן ,2400,אור יהודה ,146 ,שרה אהרונסון ,official ,146
117916,52,רמת גן ,2400,אור יהודה ,147 ,דבורה הנביאה ,official ,147
117917,52,רמת גן ,2400,אור יהודה ,148 ,חנה מרון ,official ,148
117918,52,רמת גן ,2400,אור יהודה ,149 ,לאה גולדברג ,official ,149
117919,52,רמת גן ,2400,אור יהודה ,150 ,יצחק רבין ,official ,150
117920,52,רמת גן ,2400,אור יהודה ,9575 ,שד יצחק רבין ,synonym of 150 ,150
117921,52,רמת גן ,2400,אור יהודה ,9576 ,שד רבין ,synonym of 150 ,150
117922,52,רמת גן ,2400,אור יהודה ,9577 ,רבין יצחק ,synonym of 150 ,150
117923,52,רמת גן ,2400,אור יהודה ,9578 ,רבין ,synonym of 150 ,150
117924,52,רמת גן ,2400,אור יהודה ,9579 ,שד רבין יצחק ,synonym of 150 ,150
117925,52,רמת גן ,2400,אור יהודה ,9580 ,גבי אשכנזי ,synonym of 150 ,150
117926,52,רמת גן ,2400,אור יהודה ,9581 ,אשכנזי גבי ,synonym of 150 ,150
117927,52,רמת גן ,2400,אור יהודה ,9582 ,שד גבי אשכנזי ,synonym of 150 ,150
117928,52,רמת גן ,2400,אור יהודה ,9583 ,ראל יצחק רבין ,synonym of 150 ,150
117929,52,רמת גן ,2400,אור יהודה ,151 ,ניצן ,official ,151
117930,52,רמת גן ,2400,אור יהודה ,152 ,צפריר ,official ,152
117931,52,רמת גן ,2400,אור יהודה ,153 ,שירת הזמיר ,official ,153
117932,52,רמת גן ,2400,אור יהודה ,154 ,סמטת השחר ,official ,154
117933,52,רמת גן ,2400,אור יהודה ,9584 ,סמ השחר ,synonym of 154 ,154
117934,52,רמת גן ,2400,אור יהודה ,9585 ,סמטת שחר ,synonym of 154 ,154
117935,52,רמת גן ,2400,אור יהודה ,9586 ,סמ שחר ,synonym of 154 ,154
117936,52,רמת גן ,2400,אור יהודה ,9587 ,סימטת השחר ,synonym of 154 ,154
117937,52,רמת גן ,2400,אור יהודה ,9588 ,סימטת שחר ,synonym of 154 ,154
117938,52,רמת גן ,2400,אור יהודה ,9589 ,השחר ,synonym of 154 ,154
117939,52,רמת גן ,2400,אור יהודה ,155 ,מרים נאור ,official ,155
117940,52,רמת גן ,2400,אור יהודה ,156 ,הלנה כגן ,official ,156
117941,52,רמת גן ,2400,אור יהודה ,157 ,דבורה עומר ,official ,157
117942,52,רמת גן ,2400,אור יהודה ,180 ,שדרות שמעון פרס ,official ,180
117943,52,רמת גן ,2400,אור יהודה ,9590 ,שד שמעון פרס ,synonym of 180 ,180
117944,52,רמת גן ,2400,אור יהודה ,9591 ,שד' שמעון פרס ,synonym of 180 ,180
117945,52,רמת גן ,2400,אור יהודה ,9592 ,שמעון פרס ,synonym of 180 ,180
117946,52,רמת גן ,2400,אור יהודה ,9593 ,פרס שמעון ,synonym of 180 ,180
117947,52,רמת גן ,2400,אור יהודה ,9594 ,שדרות פרס שמעון ,synonym of 180 ,180
117948,52,רמת גן ,2400,אור יהודה ,181 ,מצדה ,official ,181
117949,52,רמת גן ,2400,אור יהודה ,182 ,ארבל ,official ,182
117950,52,רמת גן ,2400,אור יהודה ,183 ,חרמון ,official ,183
117951,52,רמת גן ,2400,אור יהודה ,184 ,כנען ,official ,184
117952,52,רמת גן ,2400,אור יהודה ,185 ,תבור ,official ,185
117953,52,רמת גן ,2400,אור יהודה ,186 ,מירון ,official ,186
117954,52,רמת גן ,2400,אור יהודה ,187 ,כרמל ,official ,187
117955,52,רמת גן ,2400,אור יהודה ,188 ,סמטת דוכיפת ,official ,188
117956,52,רמת גן ,2400,אור יהודה ,9595 ,סמ דוכיפת ,synonym of 188 ,188
117957,52,רמת גן ,2400,אור יהודה ,9596 ,דוכיפת ,synonym of 188 ,188
117958,52,רמת גן ,2400,אור יהודה ,189 ,סמטת נחליאלי ,official ,189
117959,52,רמת גן ,2400,אור יהודה ,9597 ,סמ נחליאלי ,synonym of 189 ,189
117960,52,רמת גן ,2400,אור יהודה ,9598 ,נחליאלי ,synonym of 189 ,189
117961,52,רמת גן ,2400,אור יהודה ,190 ,סמטת סנונית ,official ,190
117962,52,רמת גן ,2400,אור יהודה ,9599 ,סמ סנונית ,synonym of 190 ,190
117963,52,רמת גן ,2400,אור יהודה ,9600 ,סנונית ,synonym of 190 ,190
117964,52,רמת גן ,2400,אור יהודה ,9601 ,סמ' סנונית ,synonym of 190 ,190
117965,52,רמת גן ,2400,אור יהודה ,191 ,שדרת ההדרים ,official ,191
117966,52,רמת גן ,2400,אור יהודה ,9602 ,שד ההדרים ,synonym of 191 ,191
117967,52,רמת גן ,2400,אור יהודה ,9603 ,ההדרים ,synonym of 191 ,191
117968,52,רמת גן ,2400,אור יהודה ,192 ,סמטת דרור ,official ,192
117969,52,רמת גן ,2400,אור יהודה ,9604 ,סמ דרור ,synonym of 192 ,192
117970,52,רמת גן ,2400,אור יהודה ,9605 ,סמ' דרור ,synonym of 192 ,192
117971,52,רמת גן ,2400,אור יהודה ,9606 ,דרור ,synonym of 192 ,192
117972,52,רמת גן ,2400,אור יהודה ,9607 ,הדרור ,synonym of 192 ,192
117973,52,רמת גן ,2400,אור יהודה ,9608 ,סמ הדרור ,synonym of 192 ,192
117974,52,רמת גן ,2400,אור יהודה ,193 ,סמטת פשוש ,official ,193
117975,52,רמת גן ,2400,אור יהודה ,9609 ,סמ' פשוש ,synonym of 193 ,193
117976,52,רמת גן ,2400,אור יהודה ,9610 ,סמ פשוש ,synonym of 193 ,193
117977,52,רמת גן ,2400,אור יהודה ,9611 ,פשוש ,synonym of 193 ,193
117978,52,רמת גן ,2400,אור יהודה ,9612 ,הפשוש ,synonym of 193 ,193
117979,52,רמת גן ,2400,אור יהודה ,194 ,סמטת שחף ,official ,194
117980,52,רמת גן ,2400,אור יהודה ,9613 ,סמ שחף ,synonym of 194 ,194
117981,52,רמת גן ,2400,אור יהודה ,9614 ,השחף ,synonym of 194 ,194
117982,52,רמת גן ,2400,אור יהודה ,9615 ,שחף ,synonym of 194 ,194
117983,52,רמת גן ,2400,אור יהודה ,9616 ,סמ' שחף ,synonym of 194 ,194
117984,52,רמת גן ,2400,אור יהודה ,9617 ,סמטת השחף ,synonym of 194 ,194
117985,52,רמת גן ,2400,אור יהודה ,195 ,סמטת עפרוני ,official ,195
117986,52,רמת גן ,2400,אור יהודה ,9618 ,סמטת העפרוני ,synonym of 195 ,195
117987,52,רמת גן ,2400,אור יהודה ,9619 ,סמ עפרוני ,synonym of 195 ,195
117988,52,רמת גן ,2400,אור יהודה ,9620 ,סמ' עפרוני ,synonym of 195 ,195
117989,52,רמת גן ,2400,אור יהודה ,9621 ,עפרוני ,synonym of 195 ,195
117990,52,רמת גן ,2400,אור יהודה ,9622 ,העפרוני ,synonym of 195 ,195
117991,52,רמת גן ,2400,אור יהודה ,200 ,האוניברסיטה ,official ,200
117992,52,רמת גן ,2400,אור יהודה ,201 ,גולדה מאיר ,official ,201
117993,52,רמת גן ,2400,אור יהודה ,9623 ,מאיר גולדה ,synonym of 201 ,201
117994,52,רמת גן ,2400,אור יהודה ,202 ,יהדות קנדה ,official ,202
117995,52,רמת גן ,2400,אור יהודה ,9624 ,ש קפלן ,synonym of 202 ,202
117996,52,רמת גן ,2400,אור יהודה ,9625 ,קפלן ,synonym of 202 ,202
117997,52,רמת גן ,2400,אור יהודה ,203 ,סיני ,official ,203
117998,52,רמת גן ,2400,אור יהודה ,9626 ,א יהודה סיני ,synonym of 203 ,203
117999,52,רמת גן ,2400,אור יהודה ,204 ,הלה ,official ,204
118000,52,רמת גן ,2400,אור יהודה ,9627 ,העליה ,synonym of 204 ,204
118001,52,רמת גן ,2400,אור יהודה ,9628 ,לה ,synonym of 204 ,204
118002,52,רמת גן ,2400,אור יהודה ,9629 ,הלמד הא ,synonym of 204 ,204
118003,52,רמת גן ,2400,אור יהודה ,9630 ,רח הלה ,synonym of 204 ,204
118004,52,רמת גן ,2400,אור יהודה ,9631 ,לה ,synonym of 204 ,204
118005,52,רמת גן ,2400,אור יהודה ,9632 ,הלה ,synonym of 204 ,204
118006,52,רמת גן ,2400,אור יהודה ,205 ,ההגנה ,official ,205
118007,52,רמת גן ,2400,אור יהודה ,9633 ,ההגנה ש ממשל ,synonym of 205 ,205
118008,52,רמת גן ,2400,אור יהודה ,9634 ,הגנה ,synonym of 205 ,205
118009,52,רמת גן ,2400,אור יהודה ,206 ,החלוצים ,official ,206
118010,52,רמת גן ,2400,אור יהודה ,9635 ,חלוצים ,synonym of 206 ,206
118011,52,רמת גן ,2400,אור יהודה ,207 ,המעפילים ,official ,207
118012,52,רמת גן ,2400,אור יהודה ,9636 ,סמ מעפילים ,synonym of 207 ,207
118013,52,רמת גן ,2400,אור יהודה ,9637 ,מעפילים ,synonym of 207 ,207
118014,52,רמת גן ,2400,אור יהודה ,208 ,שפרינצק ,official ,208
118015,52,רמת גן ,2400,אור יהודה ,9638 ,ש שפרינצק ,synonym of 208 ,208
118016,52,רמת גן ,2400,אור יהודה ,9639 ,שפרינצק יוסף ,synonym of 208 ,208
118017,52,רמת גן ,2400,אור יהודה ,9640 ,יוסף שפרינצק ,synonym of 208 ,208
118018,52,רמת גן ,2400,אור יהודה ,209 ,אסירי ציון ,official ,209
118019,52,רמת גן ,2400,אור יהודה ,9641 ,אור יום ,synonym of 209 ,209
118020,52,רמת גן ,2400,אור יהודה ,210 ,ההסתדרות ,official ,210
118021,52,רמת גן ,2400,אור יהודה ,9642 ,הסתדרות ,synonym of 210 ,210
118022,52,רמת גן ,2400,אור יהודה ,211 ,סמטת עולי הגרדום ,official ,211
118023,52,רמת גן ,2400,אור יהודה ,9643 ,עולי הגרדום ,synonym of 211 ,211
118024,52,רמת גן ,2400,אור יהודה ,9644 ,סמ עולי הגרדום ,synonym of 211 ,211
118025,52,רמת גן ,2400,אור יהודה ,9645 ,סמ' גולי הגרדום ,synonym of 211 ,211
118026,52,רמת גן ,2400,אור יהודה ,212 ,הרב עובדיה יוסף ,official ,212
118027,52,רמת גן ,2400,אור יהודה ,9646 ,ציון עדה ,synonym of 212 ,212
118028,52,רמת גן ,2400,אור יהודה ,9647 ,משה שרת ,synonym of 212 ,212
118029,52,רמת גן ,2400,אור יהודה ,9648 ,שרת ,synonym of 212 ,212
118030,52,רמת גן ,2400,אור יהודה ,9649 ,סוכנות היהודית ,synonym of 212 ,212
118031,52,רמת גן ,2400,אור יהודה ,9650 ,שרת משה ,synonym of 212 ,212
118032,52,רמת גן ,2400,אור יהודה ,9651 ,הסוכנות היהודית ,synonym of 212 ,212
118033,52,רמת גן ,2400,אור יהודה ,9652 ,עובדיה יוסף ,synonym of 212 ,212
118034,52,רמת גן ,2400,אור יהודה ,213 ,נתניהו יהונתן ,official ,213
118035,52,רמת גן ,2400,אור יהודה ,9653 ,נתניהו ,synonym of 213 ,213
118036,52,רמת גן ,2400,אור יהודה ,9654 ,יוני נתניהו ,synonym of 213 ,213
118037,52,רמת גן ,2400,אור יהודה ,9655 ,יהונתן נתניהו ,synonym of 213 ,213
118038,52,רמת גן ,2400,אור יהודה ,9656 ,יונתן נתניהו ,synonym of 213 ,213
118039,52,רמת גן ,2400,אור יהודה ,214 ,שד הבנים ,official ,214
118040,52,רמת גן ,2400,אור יהודה ,9657 ,הבנים ,synonym of 214 ,214
118041,52,רמת גן ,2400,אור יהודה ,9658 ,הבנים שד ,synonym of 214 ,214
118042,52,רמת גן ,2400,אור יהודה ,9659 ,הבנים שדרות ,synonym of 214 ,214
118043,52,רמת גן ,2400,אור יהודה ,9660 ,השנים שד ,synonym of 214 ,214
118044,52,רמת גן ,2400,אור יהודה ,9661 ,שד השנים ,synonym of 214 ,214
118045,52,רמת גן ,2400,אור יהודה ,9662 ,שדרות הבנים ,synonym of 214 ,214
118046,52,רמת גן ,2400,אור יהודה ,9663 ,שדרות השנים ,synonym of 214 ,214
118047,52,רמת גן ,2400,אור יהודה ,215 ,סקלאר ,official ,215
118048,52,רמת גן ,2400,אור יהודה ,9664 ,לו סקלאר ,synonym of 215 ,215
118049,52,רמת גן ,2400,אור יהודה ,9665 ,לו סקאלר ,synonym of 215 ,215
118050,52,רמת גן ,2400,אור יהודה ,216 ,שד בן פורת מרדכי ,official ,216
118051,52,רמת גן ,2400,אור יהודה ,9666 ,שד בן פורת ,synonym of 216 ,216
118052,52,רמת גן ,2400,אור יהודה ,9667 ,בן פורת מרדכי ,synonym of 216 ,216
118053,52,רמת גן ,2400,אור יהודה ,9668 ,בן פורת ,synonym of 216 ,216
118054,52,רמת גן ,2400,אור יהודה ,9669 ,מרדכי בן פורת ,synonym of 216 ,216
118055,52,רמת גן ,2400,אור יהודה ,9670 ,שד מרדכי בן פורת ,synonym of 216 ,216
118056,52,רמת גן ,2400,אור יהודה ,217 ,דקלה ,official ,217
118057,52,רמת גן ,2400,אור יהודה ,218 ,פרייב ישראל ,official ,218
118058,52,רמת גן ,2400,אור יהודה ,9671 ,שניר ,synonym of 218 ,218
