2689,11,ירושלים ,3000,ירושלים ,136 ,בן עמרם ,official ,136
2690,11,ירושלים ,3000,ירושלים ,9590 ,בן אברהם דוד ,synonym of 136 ,136
2691,11,ירושלים ,3000,ירושלים ,137 ,חיבר ,official ,137
2692,11,ירושלים ,3000,ירושלים ,138 ,הרב חכם שמעון ,official ,138
2693,11,ירושלים ,3000,ירושלים ,9591 ,חכם שמעון ,synonym of 138 ,138
2694,11,ירושלים ,3000,ירושלים ,9592 ,הרב שמעון חכם ,synonym of 138 ,138
2695,11,ירושלים ,3000,ירושלים ,9593 ,הרב חכם ,synonym of 138 ,138
2696,11,ירושלים ,3000,ירושלים ,139 ,צהרי יחיא ,official ,139
2697,11,ירושלים ,3000,ירושלים ,9594 ,דהרי יחיא ,synonym of 139 ,139
2698,11,ירושלים ,3000,ירושלים ,9595 ,דהרי ,synonym of 139 ,139
2699,11,ירושלים ,3000,ירושלים ,9596 ,יחיא צהרי ,synonym of 139 ,139
2700,11,ירושלים ,3000,ירושלים ,9597 ,צהרי ,synonym of 139 ,139
2701,11,ירושלים ,3000,ירושלים ,9598 ,יצהרי ,synonym of 139 ,139
2702,11,ירושלים ,3000,ירושלים ,140 ,תרמב ,official ,140
2703,11,ירושלים ,3000,ירושלים ,9599 ,תרמב ,synonym of 140 ,140
2704,11,ירושלים ,3000,ירושלים ,141 ,הרב עדני ,official ,141
2705,11,ירושלים ,3000,ירושלים ,9600 ,חצר קרלין ,synonym of 141 ,141
2706,11,ירושלים ,3000,ירושלים ,9601 ,עדני ,synonym of 141 ,141
2707,11,ירושלים ,3000,ירושלים ,9602 ,עדני הרב ,synonym of 141 ,141
2708,11,ירושלים ,3000,ירושלים ,142 ,לייב דיין ,official ,142
2709,11,ירושלים ,3000,ירושלים ,9603 ,ליב דיין ,synonym of 142 ,142
2710,11,ירושלים ,3000,ירושלים ,9604 ,דיין ,synonym of 142 ,142
2711,11,ירושלים ,3000,ירושלים ,9605 ,דיין לייב ,synonym of 142 ,142
2712,11,ירושלים ,3000,ירושלים ,143 ,זוננפלד ,official ,143
2713,11,ירושלים ,3000,ירושלים ,9606 ,זוננפלד סמ ,synonym of 143 ,143
2714,11,ירושלים ,3000,ירושלים ,9607 ,ככר אלקנה ,synonym of 143 ,143
2715,11,ירושלים ,3000,ירושלים ,9608 ,סמ זוננפלד ,synonym of 143 ,143
2716,11,ירושלים ,3000,ירושלים ,144 ,העמלים ,official ,144
2717,11,ירושלים ,3000,ירושלים ,145 ,בלזר יצחק ,official ,145
2718,11,ירושלים ,3000,ירושלים ,9609 ,יצחק גלזר ,synonym of 145 ,145
2719,11,ירושלים ,3000,ירושלים ,9610 ,גלזר יצחק ,synonym of 145 ,145
2720,11,ירושלים ,3000,ירושלים ,9611 ,יצחק בלזר ,synonym of 145 ,145
2721,11,ירושלים ,3000,ירושלים ,9612 ,בלזר ,synonym of 145 ,145
2722,11,ירושלים ,3000,ירושלים ,9613 ,גלזר ,synonym of 145 ,145
2723,11,ירושלים ,3000,ירושלים ,146 ,אורבך אפרים ,official ,146
2724,11,ירושלים ,3000,ירושלים ,9614 ,אוירבך ,synonym of 146 ,146
2725,11,ירושלים ,3000,ירושלים ,9615 ,אפרים אורבך ,synonym of 146 ,146
2726,11,ירושלים ,3000,ירושלים ,9616 ,אורבך ,synonym of 146 ,146
2727,11,ירושלים ,3000,ירושלים ,9617 ,אברבוך ,synonym of 146 ,146
2728,11,ירושלים ,3000,ירושלים ,9618 ,אורבוך ,synonym of 146 ,146
2729,11,ירושלים ,3000,ירושלים ,147 ,הרב אשלג ,official ,147
2730,11,ירושלים ,3000,ירושלים ,9619 ,אשלג ,synonym of 147 ,147
2731,11,ירושלים ,3000,ירושלים ,9620 ,אשלג הרב ,synonym of 147 ,147
2732,11,ירושלים ,3000,ירושלים ,148 ,אמדורסקי ירחמיאל ,official ,148
2733,11,ירושלים ,3000,ירושלים ,9621 ,ירחמיאל אמדורסקי ,synonym of 148 ,148
2734,11,ירושלים ,3000,ירושלים ,9622 ,אמדורסקי ,synonym of 148 ,148
2735,11,ירושלים ,3000,ירושלים ,149 ,חיים עוזר ,official ,149
2736,11,ירושלים ,3000,ירושלים ,9623 ,עוזר חיים ,synonym of 149 ,149
2737,11,ירושלים ,3000,ירושלים ,150 ,לפידות ,official ,150
2738,11,ירושלים ,3000,ירושלים ,151 ,שערי פנה ,official ,151
2739,11,ירושלים ,3000,ירושלים ,9624 ,ש פנה ב קשוף ,synonym of 151 ,151
2740,11,ירושלים ,3000,ירושלים ,9625 ,שערי פינה ,synonym of 151 ,151
2741,11,ירושלים ,3000,ירושלים ,152 ,רייכמן ,official ,152
2742,11,ירושלים ,3000,ירושלים ,9626 ,ריכמן ,synonym of 152 ,152
2743,11,ירושלים ,3000,ירושלים ,9627 ,רייכמן י מ ,synonym of 152 ,152
2744,11,ירושלים ,3000,ירושלים ,153 ,פרידמן ,official ,153
2745,11,ירושלים ,3000,ירושלים ,9628 ,הכהנים ,synonym of 153 ,153
2746,11,ירושלים ,3000,ירושלים ,9629 ,דוד פרידמן ,synonym of 153 ,153
2747,11,ירושלים ,3000,ירושלים ,9630 ,פרידמן דוד ,synonym of 153 ,153
2748,11,ירושלים ,3000,ירושלים ,9631 ,הרב פרידמן ,synonym of 153 ,153
2749,11,ירושלים ,3000,ירושלים ,154 ,חכמי לובלין ,official ,154
2750,11,ירושלים ,3000,ירושלים ,9632 ,שפירא מאיר ,synonym of 154 ,154
2751,11,ירושלים ,3000,ירושלים ,9633 ,לובלין ,synonym of 154 ,154
2752,11,ירושלים ,3000,ירושלים ,155 ,הבעשט ,official ,155
2753,11,ירושלים ,3000,ירושלים ,9634 ,הבעשט ,synonym of 155 ,155
2754,11,ירושלים ,3000,ירושלים ,9635 ,בעל שם טוב ,synonym of 155 ,155
2755,11,ירושלים ,3000,ירושלים ,9636 ,בעשט ,synonym of 155 ,155
2756,11,ירושלים ,3000,ירושלים ,156 ,רוקח שמעון ,official ,156
2757,11,ירושלים ,3000,ירושלים ,9637 ,רוקח ,synonym of 156 ,156
2758,11,ירושלים ,3000,ירושלים ,9638 ,שמעון רוקח ,synonym of 156 ,156
2759,11,ירושלים ,3000,ירושלים ,157 ,יהושפט ,official ,157
